3comvax	telehack!veritas!excelan!3comvax
telehack!veritas!oliveb!3comvax
telehack!oracle!decwrl!3comvax
aaahq01	telehack!janus!uunet!aaahq01
aablue	telehack!janus!uunet!aablue
aardvark	telehack!lscpdx!nosun!reed!aardvark
telehack!janus!uunet!twiki!aardvark
telehack!oracle!sequent!tessi!aardvark
abekas	telehack!oracle!pyramid!abekas
abhg	telehack!oracle!pacbell!abhg
abode	telehack!janus!uunet!ke6cd!abode
absolut	telehack!oracle!sequent!unify!absolut
telehack!oracle!hplabs!harvax!absolut
abstl	telehack!janus!uunet!wucs1!abstl
telehack!veritas!hoptoad!plus5!abstl
abtcser	telehack!oddjob!clout!ddsw1!abtcser
telehack!oddjob!clout!spl1!abtcser
telehack!oddjob!nucsrl!genesis!abtcser
abvax	telehack!janus!uunet!abvax
telehack!oracle!pyramid!abvax
acad	telehack!veritas!hoptoad!acad
telehack!oracle!decwrl!acad
telehack!adaptex!sco!acad
telehack!janus!uunet!acad
telehack!oracle!apple!acad
acheron	telehack!janus!uunet!etg!acheron
telehack!janus!uunet!bywater!acheron
telehack!oddjob!rutgers!phri!acheron
acich	telehack!oddjob!gargoyle!acich
acsm	telehack!janus!uunet!dasys1!acsm
telehack!mimsy!rayssd!icus!acsm
telehack!janus!uunet!kepler1!acsm
telehack!oddjob!clout!spl1!acsm
actisb	telehack!oracle!pyramid!actisb
ada3	telehack!janus!uunet!bcstec!ada3
adaptex	telehack!adaptex
adelie	telehack!janus!uunet!ora!adelie
telehack!mimsy!rayssd!mirror!adelie
telehack!janus!uunet!iquery!adelie
telehack!oracle!anvil!harvard!adelie
adobe	telehack!oracle!decwrl!adobe
telehack!janus!uunet!adobe
telehack!emds!sgi!adobe
telehack!oracle!apple!adobe
adsi	telehack!oddjob!rutgers!homecare!adsi
aetech	telehack!janus!uunet!serene!aetech
telehack!oddjob!rutgers!crash!aetech
agora	telehack!oracle!sequent!techbook!agora
telehack!lscpdx!nosun!percy!agora
telehack!oracle!ncube!intelhf!agora
telehack!lscpdx!nosun!pdxgate!agora
telehack!lscpdx!nosun!qiclab!agora
telehack!janus!uunet!twiki!agora
telehack!mimsy!wb3ffv!foobar!agora
telehack!oracle!sequent!tessi!agora
aicchi	telehack!oddjob!homebru!aicchi
aim1	telehack!janus!uunet!shannon!olsa99!aim1
telehack!janus!uunet!nuustak!proxima!aim1
aimed	telehack!janus!uunet!mnetor!aimed
telehack!janus!uunet!torinet!aimed
aimt	telehack!oracle!sequent!aimt
telehack!janus!uunet!aimt
telehack!tandem!netcomsv!aimt
ajfcal	telehack!oracle!apple!blender!ajfcal
akix	telehack!janus!uunet!serene!akix
telehack!oddjob!rutgers!crash!akix
alantec	telehack!oracle!pyramid!alantec
alberta	telehack!oracle!decwrl!alberta
alchemy	telehack!mimsy!ames!ucsd!ucrmath!alchemy
alembic	telehack!janus!uunet!alembic
aleph	telehack!veritas!amdahl!aleph
alfalfa	telehack!janus!uunet!alfalfa
alias	telehack!emds!sgi!alias
allegra	telehack!oracle!decwrl!allegra
telehack!mimsy!ames!allegra
telehack!veritas!amd!allegra
telehack!janus!uunet!allegra
telehack!oracle!pyramid!allegra
telehack!mimsy!rlgvax!allegra
alliant	telehack!emds!sgi!alliant
telehack!tandem!rtech!alliant
aloha1	telehack!rdlvax!randvax!vortex!islenet!aloha1
alpha	telehack!mimsy!ames!pur-ee!alpha
alps	telehack!oddjob!rutgers!alps
althea	telehack!oracle!anvil!att!althea
telehack!oracle!hplabs!well!althea
telehack!oddjob!rutgers!lilink!althea
altitude	telehack!janus!uunet!iros1!altitude
telehack!janus!uunet!matrox!altitude
telehack!janus!uunet!philmtl!altitude
alzabo	telehack!oddjob!rutgers!cdspr!alzabo
amara	telehack!janus!uunet!amara
amc	telehack!adaptex!fnx!pilchuck!amc
telehack!janus!uunet!intek01!amc
telehack!lscpdx!nosun!sunup!amc
amc-gw	telehack!janus!uunet!amc-gw
amcad	telehack!mimsy!ames!husc6!amcad
amd	telehack!veritas!amd
amdahl	telehack!veritas!amdahl
amdcad	telehack!oracle!hplabs!amdcad
telehack!veritas!hoptoad!amdcad
telehack!veritas!amdahl!amdcad
telehack!oracle!decwrl!amdcad
telehack!mimsy!ames!amdcad
telehack!janus!uunet!amdcad
telehack!tandem!netcomsv!amdcad
telehack!rdlvax!mtxinu!amdcad
ameritec	telehack!janus!uunet!jarthur!ameritec
ames	telehack!mimsy!ames
amgraf	telehack!adaptex!amgraf
amiserv	telehack!oddjob!clout!miroc!amiserv
telehack!oddjob!clout!obdient!amiserv
telehack!oddjob!clout!austral!amiserv
amix	telehack!oddjob!rutgers!cbmvax!amix
telehack!veritas!hoptoad!acad!amix
telehack!tandem!rtech!usblues!amix
amperif	telehack!oracle!anvil!att!amperif
telehack!janus!uunet!btni!amperif
telehack!janus!uunet!ssbell!amperif
telehack!janus!uunet!pbi!amperif
ampex	telehack!veritas!amdahl!ampex
telehack!oracle!decwrl!ampex
telehack!janus!uunet!ampex
telehack!tandem!mips!ampex
amtfocus	telehack!oddjob!clout!mcdchg!amtfocus
telehack!janus!uunet!harper!amtfocus
anacom1	telehack!janus!uunet!whitney!anacom1
telehack!janus!hacgate!mbf!anacom1
telehack!adaptex!letni!zardoz!anacom1
telehack!janus!uunet!pride386!anacom1
telehack!adaptex!sco!lawnet!anacom1
telehack!tandem!netcomsv!pca54!anacom1
telehack!adaptex!letni!homebas!anacom1
anagld	telehack!mimsy!anagld
analogy	telehack!lscpdx!nosun!analogy
telehack!janus!uunet!analogy
anasaz	telehack!oracle!pyramid!anasaz
andromeda	telehack!oddjob!rutgers!andromeda
telehack!oracle!pyramid!andromeda
anet	telehack!oracle!apple!m-net!anet
telehack!mimsy!widener!hela!anet
telehack!oracle!pyramid!fmsrl7!anet
anomaly	telehack!janus!uunet!anomaly
telehack!mimsy!rayssd!anomaly
antares	telehack!oracle!pacbell!sactoh0!antares
telehack!oracle!sequent!unify!antares
antiem	telehack!janus!uunet!uvm-gen!antiem
telehack!tandem!netcomsv!kira!antiem
anvil	telehack!oracle!anvil
anwar	telehack!oddjob!rutgers!princeton!anwar
telehack!lscpdx!nosun!cvedc!anwar
telehack!mimsy!ames!necntc!anwar
telehack!janus!uunet!bigtex!anwar
telehack!veritas!hoptoad!snark!anwar
telehack!veritas!excelan!leadsv!anwar
telehack!lscpdx!nosun!analogy!anwar
telehack!oddjob!rutgers!pyrnj!anwar
apci-sc	telehack!veritas!oliveb!sci!apci-sc
telehack!oracle!hplabs!harvax!apci-sc
telehack!oracle!decwrl!mdcbbs!apci-sc
apcichi	telehack!oddjob!nucsrl!apcichi
apcihq	telehack!oracle!anvil!apollo!apcihq
telehack!oddjob!nucsrl!apcichi!apcihq
apcimsp	telehack!oddjob!nucsrl!apcichi!apcimsp
apcisea	telehack!adaptex!fnx!pilchuck!apcisea
telehack!oracle!anvil!apollo!apcisea
telehack!oddjob!nucsrl!apcichi!apcisea
telehack!mimsy!ames!uw-beaver!apcisea
apctrc	telehack!janus!uunet!apctrc
apex	telehack!janus!uunet!apex
apexepa	telehack!janus!uunet!apexepa
apin	telehack!janus!uunet!ncc!apin
telehack!oracle!decwrl!alberta!apin
apl-em	telehack!mimsy!ames!uw-beaver!slug!apl-em
telehack!adaptex!fnx!pilchuck!hpubvwa!apl-em
telehack!mimsy!ames!uw-beaver!uw-apl!apl-em
aplcen	telehack!mimsy!aplcen
apollo	telehack!oracle!anvil!apollo
telehack!lscpdx!cadence!apollo
