hplabs	Hewlett-Packard Laboratories, Resear	Palo Alto, CA
hplabsy	Hewlett-Packard Laboratories, Comput	Palo Alto, CA
hplsla	Hewlett-Packard Lake Stevens Instrum	Wa USA
hpubvwa	Hewlett-Packard Bellevue Sales Offic	Bellevue, WA
hpupora	Hewlett-Packard Wilsonville Sales Of	Wilsonville, OR
hpuslma	Hewlett Packard, St. Louis	St Louis, Missouri
hqda-ai	US Army Artificial Intelligence Cent	Washington, DC
hrc	Handwriting Research Corporation	Phoenix, Arizona
hrshcx	Harris Computer Systems	Fort Lauderdale FL
hscfvax	Harvard University, School of Public	Boston, MA
hsi	3M Health Information Systems	Wallingford, CT
hslrswi	Ascom Hasler AG	Switzerland
hubinf	Humboldt-Universitaet, Sektion Infor	Germany
huji	The Hebrew Univ. of Jerusalem, Dept.	Israel
humu	Naval Ocean Systems Center, Hawaii	San Diego, CA
humus	The Hebrew Univ. of Jerusalem, Dept.	Israel
humvax	Humber College, Technology Division,	Canada
huron	Huron Systems	Ann Arbor, MI
husc6	Harvard University, Science Center	Cambridge, MA
hutch	Rabbit Software Corporation	Malvern, PA
hybrid	The Home for Undeployed Basselopes	Canada
i2unix	Dipartimento di Informatica, Sistemi	Italy
ibism	Citibank, N.A.	New York, New York
ibmcan	IBM Support Centre, IBM Canada Limit	Markham Ontario
ibmorl	IBM Orlando Customer Center	Florida
icc	Intercomputer Communications Corp.	Ohio
icdi10	The House of Rump	Beverly, NJ
ice	University of Wisconsin, Dept. of Ge	Madison, Wisconsin
ichips	Intel Corporation	Hillsboro, Oregon
icldata	ICLDatachecker System Inc.	Santa Clara, CA
ico	Interactive Systems Corporation	Boulder, Colorado
icus	ICUS Software Systems	Austin, Texas
iczer-1	The Kurowulf Empire	Clifton, NJ
idacom	IDACOM Electronics Ltd.	Canada
idc	InfoDesign Corporation	Toronto, Ontario
ide	Interactive Development Environments	San Francisco, CA
idgeast	SunWorld	Peterborough, NH
idis	University of Pittsburgh SLIS Labora	Pittsburgh, PA
iex	IEX Corporation	Texas
igloo	Small Computer Users Magazine	Northbrook, IL
igor	Rational	Santa Clara, CA
ihf1	Intel Corporation, DTO Engineering	Hillsboro, Oregon
iis	Institut fuer Integrierte Systeme,	Switzerland
iisat	International Information Service	Canada
iitmax	Illinois Institute of Technology	Chicago, Illinois
ileaf	Interleaf Inc.	Cambridge, MA
illian	Micronetics, Aloha Research Group	Oregon
imag	Institut d'Informatique et de Mathem	France
imagen	Imagen Corp.	Santa Clara, CA
imax	Imax Corporation	Ont Canada
imp	1OA Inc.	N Potomac, MD
impch	ImproWare Computersysteme	Fuellinsdorf
implode	Delta Systems International	Gresham, Oregon
